"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Code","1","266","2242328285184","184172544","64110592","13776","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node c:\Users\bossmphx\.vscode\extensions\streetsidesoftware.code-spell-checker-2.0.13\packages\_server\dist\main.js --node-ipc --clientProcessId=19268","System.Diagnostics.Process (Code)","Microsoft Corporation","483.09375","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9616","8",,"False","12/15/2021 10:22:53 PM",,"3804",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13776","13776","64110592","64110592","448696","448696","106409984","106409984","218505216","218505216","2246614863872","346968064","True","Normal","64110592","64110592","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","266","2242328285184","355356672","False",,,,"184172544","184172544",,"System.Diagnostics.ProcessModule (Code.exe)","00:01:11.0312500","00:08:03.0937500","00:06:52.0625000","0","","True",,
"Code","1","260","2237984108544","136916992","10391552","13232","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\bossmphx\AppData\Roaming\Code /prefetch:7 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\bossmphx\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=6d03120c-7ac7-4a38-862d-399ba0824807&iid=6d03120c-7ac7-4a38-862d-399ba0824807&sid=6d03120c-7ac7-4a38-862d-399ba0824807 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.63.1 --annotation=prod=Electron --annotation=ver=13.5.2 --initial-client-data=0x410,0x414,0x418,0x40c,0x41c,0x7ff6f84e4080,0x7ff6f84e4090,0x7ff6f84e40a0","System.Diagnostics.Process (Code)","Microsoft Corporation","0.265625","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","14188","8",,"False","12/15/2021 10:22:41 PM",,"3976",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13232","13232","10391552","10391552","427968","427968","10457088","10457088","138555392","138555392","2238007963648","330002432","True","Normal","10391552","10391552","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","260","2237984108544","306147328","False",,,,"136916992","136916992",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.2500000","00:00:00.2656250","00:00:00.0156250","0","","True",,
"Code","1","348","2242381524992","185090048","70361088","20776","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1628,14178744663659099835,9390407435578872152,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-US --user-data-dir=""C:\Users\bossmphx\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\resources\app"" --enable-sandbox --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4280 /prefetch:1 --vscode-window-config=vscode:2ac37877-473f-4778-b0ef-64eea12461c3","System.Diagnostics.Process (Code)","Microsoft Corporation","82.859375","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6484","8",,"False","12/16/2021 1:21:37 AM",,"10116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20776","20776","70361088","70361088","450648","450648","77422592","77422592","198057984","198057984","2251031097344","468234240","True","Normal","70361088","70361088","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","348","2242381524992","408596480","False",,,,"185090048","185090048",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:14.5312500","00:01:22.8593750","00:01:08.3281250","0","","True",,
"Code","1","755","2238590451712","300081152","211009536","26824","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --field-trial-handle=1628,14178744663659099835,9390407435578872152,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --disable-color-correct-rendering --user-data-dir=""C:\Users\bossmphx\AppData\Roaming\Code"" --gpu-preferences=SAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB4AAAAAAAAAHgAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAAIAAAAAAAAAAgAAAAAAAAA --mojo-platform-channel-handle=1664 /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","638.8125","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6944","10",,"False","12/15/2021 10:22:42 PM",,"16056",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26824","26824","211009536","211009536","892592","892592","335011840","335011840","429568000","429568000","2238718836736","1040875520","True","AboveNormal","211009536","211009536","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","755","2238590451712","912490496","False",,,,"300081152","300081152",,"System.Diagnostics.ProcessModule (Code.exe)","00:02:24.9375000","00:10:38.9062500","00:08:13.9687500","0","","True",,
"Code","1","286","2238007746560","139014144","12681216","16616","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1628,14178744663659099835,9390407435578872152,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\bossmphx\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=2092 /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","5.6875","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","11172","8",,"False","12/15/2021 10:22:42 PM",,"17232",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16616","16616","12681216","12681216","462224","462224","15294464","15294464","142606336","142606336","2238093205504","415244288","True","Normal","12681216","12681216","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","286","2238007746560","329785344","False",,,,"139014144","139014144",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:02.9843750","00:00:05.6875000","00:00:02.7031250","0","","True",,
"Code","1","223","2242294730752","136830976","40431616","13232","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node ""c:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=19268","System.Diagnostics.Process (Code)","Microsoft Corporation","2.5","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","11560","8",,"False","12/15/2021 10:56:58 PM",,"19068",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13232","13232","40431616","40431616","448712","448712","57266176","57266176","179003392","179003392","2246614863872","346968064","True","Normal","40431616","40431616","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","223","2242294730752","321802240","False",,,,"136830976","136830976",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.5937500","00:00:02.5000000","00:00:01.9062500","0","","True",,
"Code","1","426","2242398711808","313995264","337727488","25976","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node --inspect-port=0 ""c:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\resources\app\out\bootstrap-fork"" --type=extensionHost --skipWorkspaceStorageLock","System.Diagnostics.Process (Code)","Microsoft Corporation","1382.203125","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","11060","8",,"False","12/15/2021 10:22:44 PM",,"19268",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","25976","25976","337727488","337727488","500824","500824","594464768","594464768","573693952","573693952","2246614863872","346968064","True","Normal","337727488","337727488","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","426","2242398711808","425783296","False",,,,"313995264","313995264",,"System.Diagnostics.ProcessModule (Code.exe)","00:05:01.4062500","00:23:02.2031250","00:18:00.7968750","0","","True",,
"Code","1","523","2258140655616","858275840","785362944","76200","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1628,14178744663659099835,9390407435578872152,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-US --user-data-dir=""C:\Users\bossmphx\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\resources\app"" --no-sandbox --no-zygote --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2700 /prefetch:1 --vscode-window-config=vscode:2ac37877-473f-4778-b0ef-64eea12461c3","System.Diagnostics.Process (Code)","Microsoft Corporation","2884.5","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","12644","8",,"False","12/15/2021 10:22:42 PM",,"21600",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","76200","76200","785362944","785362944","726712","726712","794771456","794771456","866058240","866058240","2262363492352","-1084272640","True","Normal","785362944","785362944","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","523","2258140655616","-1012142080","False",,,,"858275840","858275840",,"System.Diagnostics.ProcessModule (Code.exe)","00:03:16.3437500","00:48:04.5000000","00:44:48.1562500","0","","True",,
"Code","1","2063","2247016144896","207749120","72515584","47664","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" .","System.Diagnostics.Process","Microsoft Corporation","839.0625","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8380","8",,"False","12/15/2021 10:22:41 PM",,"22172",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","47664","47664","72515584","72515584","913096","913096","108023808","108023808","243712000","243712000","2251187683328","624820224","True","Normal","72515584","72515584","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","2063","2247016144896","748249088","False",,,,"207749120","207749120",,"System.Diagnostics.ProcessModule (Code.exe)","00:09:41.7968750","00:13:59.0781250","00:04:17.2812500","721960","● work.dib - NYPosh - Visual Studio Code","True",,
"Code","1","251","2246606475264","159174656","54845440","13704","C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\bossmphx\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node c:\Users\bossmphx\.vscode\extensions\ms-python.vscode-pylance-2021.12.2\dist\server.bundle.js --cancellationReceive=file:e51ee9e869cafcac0f69ad8a49565a0f4a58171bf0 --node-ipc --clientProcessId=19268","System.Diagnostics.Process (Code)","Microsoft Corporation","7.8125","1.63.1","1.63.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","13064","8",,"False","12/16/2021 12:23:33 PM",,"22308",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13704","13704","54845440","54845440","448712","448712","76238848","76238848","194011136","194011136","2250918219776","355356672","True","Normal","54845440","54845440","Code","255","1",,"System.Diagnostics.ProcessThreadCollection","251","2246606475264","338579456","False",,,,"159174656","159174656",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:02.9218750","00:00:07.8125000","00:00:04.8906250","0","","True",,
